事件,事件A,事件B,关系,年份,实体
中国空军新闻发言人申进科空军大校６日发布消息：中国空军组织轰-6Ｋ、苏-30等多型战机飞赴南海，对南沙岛礁和黄岩岛附近空域实施战斗巡航，推动海上方向实战化训练深入发展，提升应对各种安全威胁的实战能力。,中国空军组织轰-6Ｋ、苏-30等多型战机飞赴南海。,对南沙岛礁和黄岩岛附近空域实施战斗巡航。,顺承,2016,申进科中国南海南沙黄岩岛
中国交通运输部南海救助局局长林志豪近日在三沙市表示，南海救助局将提升救助水平，为三沙提供一支专业救援队伍，承担起南海救灾等抢险救助任务。,南海救助局将提升救助水平。,南海救助局为三沙提供一支专业救援队伍。,顺承,2016,交通运输部南海林志豪三沙市南海救助局三沙救灾
中国与东盟国家在内蒙古满洲里市举行落实《南海各方行为18宣言》第13次高官会和第18次联合工作组会。各方表示将以《中国和东盟国家外长关于全面有效落实<宣言>联合声明》为指导，继续全面有效落实《宣言》，重申坚持通过谈判协商和平解决争议，坚持通过地区规则框架管控分歧，深化海上务实合作，推进“准则”磋商，维护南海的和平与稳定。会议审议通过了“中国与东盟国家应对海上紧急事态外交高官热线平台指导方针”和“中国与东盟国家关于在南海适用《海上意外相遇规则》的联合声明”两份成果文件，决定将此作为成果提交9月初中国—东盟领导人会议发表。各方还就如何加强海上合作机制建设及在不受干扰的情况下实现“准则”磋商“四点愿景”等交换了意见。,中国与东盟国家在内蒙古满洲里市举行落实《南海各方行为18宣言》第13次高官会和第18次联合工作组会。,会议审议通过了两份成果文件，决定将其作为成果提交9月初中国—东盟领导人会议发表。,顺承,2016,东盟内蒙古满洲里市南海中国
“第十四届海峡两岸南海问题学术研讨会”25日在海口召开，来自海峡两岸近80名专家学者以“南海仲裁案”裁决对两岸关系的挑战与合作为主题展开探讨。,第十四届海峡两岸南海问题学术研讨会在海口召开。,专家学者以“南海仲裁案”裁决对两岸关系的挑战与合作为主题展开探讨。,并发,2016,南海海口
国家主席习近平5日在杭州会见来华出席二十国集团领导人峰会的日本首相安倍晋三。习近平指出，中日双方应该根据四点原则共识精神，通过对话磋商加强沟通，妥善处理东海问题，共同维护东海和平稳定。日方在南海问题上要谨言慎行，避免对中日关系改善造成干扰。这是两人时隔近一年半后首次会面。,国家主席习近平会见日本首相安倍晋三。,习近平指出中日双方应加强沟通妥善处理东海问题。,顺承,2016,习近平杭州日本日东海南海中
东盟峰会开幕。中国国务院总理李克强出席东亚合作领导人系列会议并对老挝进行正式访问。据悉，东盟领导人峰会声明和东盟与中国领导人的会议声明，都不会提及所谓的南海仲裁案。美联社评论“这是中国的外交胜利”。,东盟峰会开幕。,中国国务院总理李克强出席东亚合作领导人系列会议并对老挝进行正式访问。,并发,2016,中国国务院李克强东亚老挝东盟南海美联社
在老挝万象举行的第19次中国－东盟领导人会议上，中国和东盟国家领导人共同审议通过了《中国与东盟国家应对海上紧急事态外交高官热线平台指导方针》。作为会议重要成果文件之一，该指导方针规定了外交高官热线平台的目的、适用范围、术语定义、联络点指定和使用程序等，标志着该热线平台的正式启动。中国和东盟国家领导人还审议通过了《中国与东盟国家关于在南海适用〈海上意外相遇规则〉的联合声明》。作为本次会议达成的重要成果文件之一，该《联合声明》为中国和东盟国家海军的船舶和航空器在南海意外相遇时的应急处置和操作规范提供了明确指引。,在老挝万象举行的第19次中国－东盟领导人会议上，中国和东盟国家领导人共同审议通过了《中国与东盟国家应对海上紧急事态外交高官热线平台指导方针》。,中国和东盟国家领导人审议通过了《中国与东盟国家关于在南海适用〈海上意外相遇规则〉的联合声明》。,并发,2016,老挝万象中国东盟南海
国务院总理李克强7日上午在老挝万象国家会议中心出席第十九次中国－东盟（10+1）领导人会议时，就南海问题阐述中方的立场和主张。,李克强在老挝万象国家会议中心出席第十九次中国－东盟（10+1）领导人会议。,李克强就南海问题阐述中方的立场和主张。,顺承,2016,李克强老挝万象国家会议中心中国东盟南海
东盟系列首脑会议6日开幕。在7月的外长会议上，要求中国接受南海仲裁结果的表述从联合声明中删除。这是因为柬埔寨一直到最后都在反对。东盟统一步调敦促中国自制的战略化为泡影。,东盟系列首脑会议在6日开幕。,要求中国接受南海仲裁结果的表述从联合声明中删除。,因果,2016,中国柬埔寨东盟
中国总理李克强在老挝向菲律宾总统杜特尔特表示，期待中菲双方共同努力，推动两国关系重返正常轨道。,李克强在老挝向杜特尔特表示期待中菲双方共同努力。,推动中菲关系重返正常轨道。,因果,2016,李克强老挝菲律宾杜特尔特中
中方正式对外公布中俄“海上联合-2016”演习时间、海域、科目等信息。根据公开信息，此次中俄演习海域在南海北部，位于中国沿海，并非争议海域,中方正式对外公布中俄“海上联合-2016”演习时间、海域、科目等信息。,此次中俄演习海域在南海北部，位于中国沿海，并非争议海域。,因果,2016,俄南海中国
参加中俄“海上联合—2016”军事演习的中俄双方参演舰艇，15日离开湛江某军港，前往预定海域集结。这标志着此次联合军事演习正式进入海上联合行动实施阶段。,中俄“海上联合—2016”军事演习的中俄双方参演舰艇离开湛江某军港。,此次联合军事演习正式进入海上联合行动实施阶段。,顺承,2016,俄湛江
中国国防部发言人杨宇军大校9月29日在每月一次的例行记者会上说，在南海问题上，日本作为域外国家一直试图把南海“搅浑”，从中渔利。我们必须正告日方，这是打错了算盘。日方想在中方管辖海域搞什么“联合巡航”、“联合演习”，完全是在“玩火”，中国军队不会坐视不管。,中国国防部发言人杨宇军大校在例行记者会上发表南海问题的讲话。,杨宇军大校正告日本，在南海问题上不要进行“联合巡航”、“联合演习”。,因果,2016,南海
中国国防部长常万全在第七届香山论坛上发表讲话，直言不讳地批评美国近期插手亚洲的争议地区。,中国国防部长常万全在第七届香山论坛上发表讲话。,常万全批评美国近期插手亚洲的争议地区。,顺承,2016,常万全香山美国亚洲
菲律宾总统杜特尔特对中国展开为期4天的国事访问。此次访华，是杜特尔特就任总统以来首次访问非东盟国家。他表示，将通过此访“向中国伸出友谊之手”，展现对中国政府和中国人民的敬意，并与中方就诸多议题交换意见。中国国家主席习近平和菲律宾总统杜特尔特20日在人民大会堂举行了会谈。中国外交部副部长刘振民表示，中国和菲律宾达成一致意见，认为南海争端不是两国关系的全部，两国将恢复外交和防务磋商。,菲律宾总统杜特尔特对中国展开为期4天的国事访问。,中国和菲律宾达成一致意见，认为南海争端不是两国关系的全部，两国将恢复外交和防务磋商。,因果,2016,中国东盟中国政府中国人民菲律宾人民大会堂刘振民南海国
美国军舰再次在中国南海岛礁附近开展所谓“航行自由”行动。美军“迪凯特”号导弹驱逐舰21日驶经中国西沙群岛的中建岛和永兴岛附近海域巡航。针对美军的挑衅，中国国防部新闻发言人吴谦21日晚发表谈话说，美国海军“迪凯特”号驱逐舰擅自进入我西沙领海，中国海军“广州”号导弹驱逐舰和“洛阳”号导弹护卫舰当即行动，对美舰进行识别查证，并予以警告驱离。吴谦表示，当前，在地区国家的共同努力下，南海局势呈现积极发展态势。在此形势下，美方派军舰擅自进入中国领海，就是唯恐天下不乱，试图通过此举搞乱局势，从中渔利。这恰恰证明，美方是南海局势稳定的麻烦制造者。,美国军舰“迪凯特”号导弹驱逐舰在中国南海岛礁附近开展“航行自由”行动。,中国海军“广州”号导弹驱逐舰和“洛阳”号导弹护卫舰对美舰进行识别查证，并予以警告驱离。,因果,2016,中国南海中建岛永兴岛美国西沙广州洛阳吴谦
结束完对华国事访问的菲律宾总统杜特尔特23日表示，希望菲律宾渔民数日后能重返黄岩岛捕鱼，但并未说明中方是否就此开列条件。对于黄岩岛渔业问题，中国外交部曾表示，出于两国友好情谊，中方愿就有关问题做出妥善安排。,菲律宾总统杜特尔特希望菲律宾渔民能重返黄岩岛捕鱼。,中国外交部表示愿就黄岩岛渔业问题进行妥善安排。,因果,2016,菲律宾杜特尔特黄岩岛
中国外交部发言人陆慷表示，中菲在南海问题上的共识是明确清晰的。中方注意到，杜特尔特总统本人近日有关表态与中菲双方达成的共识精神总体是相符的。,陆慷表示中菲在南海问题上的共识是明确清晰的。,杜特尔特总统的表态与中菲双方达成的共识精神总体相符。,因果,2016,陆慷杜特尔特中
中国在海南岛和西沙群岛之间举行军事演习。被问到此举是否是回应美军驱逐舰上周在西沙群岛巡航，中国国防部发言人吴谦在记者会上说，这是一次“例行性的、计划内的联合搜救演练”。,中国在海南岛和西沙群岛之间举行军事演习。,中国国防部发言人吴谦表示这是“例行性的、计划内的联合搜救演练”。,因果,2016,海南岛西沙群岛中国国防部
国家主席习近平在钓鱼台国宾馆会见马来西亚总理纳吉布。中国和马来西亚就“通过友好磋商和谈判”解决南海争端达成共识，并认为“不直接相关方”介入有关争议无助于问题的解决。,国家主席习近平在钓鱼台国宾馆会见马来西亚总理纳吉布。,中国和马来西亚就“通过友好磋商和谈判”解决南海争端达成共识。,顺承,2016,习近平钓鱼台马来西亚纳吉布中国南海
国家海洋局4日在福建厦门发布《南海及其周边海洋国际合作框架计划（2016－2020）》。框架计划积极配合“一带一路”倡议实施，为“十三五”期间中国与南海及其周边国家、地区、国际组织等合作伙伴，在海洋经济、政策、环境等7个方面开展合作确立了实施框架。,国家海洋局在福建厦门发布《南海及其周边海洋国际合作框架计划（2016－2020）》。,框架计划为“十三五”期间中国与南海及其周边国家、地区、国际组织开展合作确立了实施框架。,因果,2016,福建厦门南海中国
由中国南海研究院编写的《美国在亚太地区的军力报告(2016)》在北京发布。这是中国智库首次全面、系统地介绍和分析美国在亚太地区军事存在的专业研究报告。,由中国南海研究院编写的《美国在亚太地区的军力报告(2016)》在北京发布。,中国智库首次全面、系统地介绍和分析美国在亚太地区军事存在的专业研究报告。,因果,2016,中国南海美国北京
中越政府级边界谈判代表团全体会议在北京举行。中国政府边界谈判代表团团长、外交部副部长刘振民同越南政府边界谈判代表团团长、外部副部长黎怀忠主持会议，两国政府有关部门和地方政府代表与会。双方重申将继续落实好两党两国领导人重要共识，进一步加大磋商与合作力度，稳步推进边界谈判各项工作，推动上述机制不断取得新进展，造福两国和两国人民。双方同意继续落实好北部湾油气、渔业合作项目，继续实施好两国海军、海警联合巡逻，维护该海域的和平稳定。,中越政府级边界谈判代表团全体会议在北京举行。,双方重申将继续落实好两党两国领导人重要共识，进一步加大磋商与合作力度。,顺承,2016,北京越南黎怀忠
中国国防部表示：“中美双方经友好协商，于12月20日中午在南海有关海域顺利完成美无人潜航器的移交工作。”,中美双方于12月20日完成美无人潜航器的移交工作。,中国国防部表示这一结果是通过友好协商达成的。,因果,2016,国防部美南海
2月4日，文莱、马来西亚、新加坡、越南参加了在新西兰奥克兰举行的包括美国在内的12个环太平洋国家的贸易部长《跨太平洋伙伴关系协定》（TPP）签字仪式。,文莱、马来西亚、新加坡、越南参加了在新西兰奥克兰举行的TPP签字仪式。,包括美国在内的12个环太平洋国家的贸易部长参与了该签字仪式。,并发,2016,文莱马来西亚新加坡越南新西兰奥克兰太平洋
4月21-23日，中国外交部长王毅分别访问了文莱、柬埔寨和老挝。访问期间，王毅外长分别与文莱首相府部长兼外交与贸易部第二部长林玉成、柬埔寨外交与国际合作部部长布拉索昆、老挝外长沙伦塞就当前南海局势深入交换意见，并达成重要共识。,王毅外长访问了文莱、柬埔寨和老挝。,王毅外长与三国外交部长就南海局势深入交换意见，并达成重要共识。,顺承,2016,中国王毅文莱柬埔寨老挝文莱首相府与贸易部林玉成国际合作部布拉索昆沙伦塞南海
5月3日，2016年东盟防长扩大会议海上安全与反恐联合演习在文莱麻拉海军基地的多国协调中心正式开幕。此次联合演习在文莱、新加坡及两国之间海域举行，于5月12日结束。参加此次演习的国家有东盟10国及中国、俄罗斯、美国、日本、韩国、澳大利亚、新西兰和印度等8国。中国军舰“兰州”号导弹驱逐舰参加此次演习。,2016年东盟防长扩大会议海上安全与反恐联合演习在文莱麻拉海军基地正式开幕。,此次联合演习于5月12日结束。,顺承,2016,东盟与反恐联合文莱麻拉海军基地协调新加坡中国俄罗斯美国日本韩国澳大利亚新西兰印度兰州
台当局外事部门23日表示，22日、23日带领调查团实地勘察，证实太平岛确实是岛屿，绝非菲律宾方面所称的“岩礁”。,台当局外事部门在22日、23日带领调查团实地勘察。,调查证实太平岛确实是岛屿，而非菲律宾所称的“岩礁”。,顺承,2016,太平岛菲律宾
台“海巡署”公布越南渔船1月6日闯进距太平岛仅2.5海里左右水域的实况照片。当时台湾百吨巡逻救难艇前往驱离，并首度对越界渔船发射水炮。,越南渔船闯进距太平岛仅2.5海里左右水域。,台湾百吨巡逻救难艇前往驱离，并首度对越界渔船发射水炮。,顺承,2016,越南太平岛台湾
马英九以因应“南海仲裁案”的“预防性措施”为名登上太平岛，宣示台湾对南海U形线以内四大群岛的“主权”及其周遭海域的权利。,马英九以因应“南海仲裁案”的“预防性措施”为名登上太平岛。,马英九宣示台湾对南海U形线以内四大群岛的“主权”及其周遭海域的权利。,因果,2016,南海太平岛台湾
台湾领导人马英九前往太平岛访视并慰劳驻岛人员，行前邀请民进党主席蔡英文派员参加，但民进党表示没有这个计划，不会派人随行。,台湾领导人马英九前往太平岛访视并慰劳驻岛人员。,民进党主席蔡英文表示没有派员参加的计划。,因果,2016,太平岛蔡英文
马英九首次提出“南海和平倡议”路径图,马英九首次提出“南海和平倡议”路径图。,南海地区的和平与稳定受到关注。,因果,2016,首次南海
台湾地区领导人马英九宣布，他将邀请菲律宾派出代表及海牙国际法庭五位仲裁员登太平岛，以实地访问的方式亲身验证太平岛是否适于人居。,马英九宣布邀请菲律宾派出代表及海牙国际法庭五位仲裁员登太平岛。,代表和仲裁员将实地访问太平岛，验证其是否适于人居。,顺承,2016,菲律宾海牙国际法庭太平岛
据香港中评社报道，台湾地区领导人马英九希望国际仲裁法庭不要误判将太平岛降格为“岩礁”。台湾当局涉外部门15日上午安排国际法庭法官与国际法学者近30人，其中包括国际法庭常设仲裁法庭的法官GerhardHefner等人实地登上太平岛作见证。,台湾地区领导人马英九希望国际仲裁法庭不要误判将太平岛降格为“岩礁”。,台湾当局涉外部门安排国际法庭法官与国际法学者实地登上太平岛作见证。,顺承,2016,香港台湾地区太平岛台湾仲裁法庭
据台湾“中央社”7月12日报道，海牙国际法庭北京时间12日下午公布“南海仲裁案”的结果，台湾地区领导人办公室当日傍晚以新闻稿表示：“我们绝不接受，也主张此仲裁判断对‘中华民国’不具法律拘束力。”,海牙国际法庭公布“南海仲裁案”的结果。,台湾地区领导人办公室表示绝不接受该仲裁判断。,顺承,2016,台湾中央社海牙国际法庭北京南海台湾地区领导人办公室
南海仲裁案做出不利于台湾拥有太平岛“主权”的裁决，台湾军舰13日提前启航奔赴太平岛，蔡英文特别登上军舰发表谈话“宣示主权”。,南海仲裁案做出不利于台湾拥有太平岛“主权”的裁决。,台湾军舰13日提前启航奔赴太平岛，蔡英文特别登上军舰发表谈话“宣示主权”。,因果,2016,台湾太平岛
台湾前领导人马英九再次投书媒体，质疑南海仲裁案临时仲裁庭对太平岛地位的判断，并以进口大量水粮与能源的新加坡为例，质问是否新加坡因此就无权享有专属经济区或大陆架权益。,马英九质疑南海仲裁案临时仲裁庭对太平岛地位的判断。,马英九以新加坡为例，质问新加坡是否无权享有专属经济区或大陆架权益。,因果,2016,太平岛新加坡
台湾当局“内政部长”叶俊荣16日与“海巡署长”等人前往太平岛视察，除登岛喝太平水外，也替南沙医院挂上门牌。虽然这是蔡英文上任后首次有官员前往南沙，但他们全程对“主权”问题避而不谈的态度，也让岛内舆论不禁打了个问号，“对太平岛地位不敢据理力争，挂牌又有什么意义？”,台湾当局“内政部长”叶俊荣与“海巡署长”等人前往太平岛视察。,岛内舆论对台湾当局避谈“主权”问题表示疑问。,因果,2016,登岛南沙蔡英文太平岛
马英九举办南海议题和南海和平倡议讲习会,马英九举办南海议题讲习会。,马英九举办南海和平倡议讲习会。,并发,2016,南海
蔡英文当局通过“陆委会”发布声明称:“对于涉及领土主权的议题，不会与任何一方合作。”,蔡英文当局通过“陆委会”发布声明。,蔡英文当局表示“对于涉及领土主权的议题，不会与任何一方合作。”,顺承,2016,
蔡英文针对仲裁案召开首次“国安高层会议”，提出“四点原则”和“五项做法”。其南海政策核心主张完全不提U形线和“历史性水域”，强调根据国际法和海洋法解决争议。,蔡英文召开首次“国安高层会议”，提出“四点原则”和“五项做法”。,蔡英文的南海政策核心主张强调根据国际法和海洋法解决争议。,因果,2016,
台当局“内政部”9日起在“国史馆”举办“经略南海･永保太平—收复南海诸岛七十周年纪念特展”。,台当局“内政部”在“国史馆”举办“经略南海･永保太平—收复南海诸岛七十周年纪念特展”。,这个特展的主题是收复南海诸岛七十周年。,上下位,2016,内政部南海
2016年2月4日，文莱、马来西亚、新加坡、越南参加了在新西兰奥克兰举行的包括美国在内的12个环太平洋国家的贸易部长《跨太平洋伙伴关系协定》（TPP）签字仪式。,文莱、马来西亚、新加坡、越南参加了在新西兰奥克兰举行的TPP签字仪式。,包括美国在内的12个环太平洋国家参与了TPP签字仪式。,并发,2016,文莱马来西亚新加坡越南新西兰奥克兰美国太平洋
2016年3月21日，据马来西亚《太阳报》报道，澳大利亚防长马里斯·佩恩在吉隆坡与马来西亚国防部长希沙姆丁·侯赛因会晤，双方着重讨论的话题之一就是中国在南海的军事存在。希沙姆丁·侯赛因表示，需要让东盟国家参与进来解决南海问题。他同时指出，自己将与越南和菲律宾同行会谈。佩恩则表示，澳大利亚将继续派舰艇和军用飞机前往南海“争议地区”，重申澳方“将舰艇和飞机派往这一地区的类似措施是合法的，这一立场也不会改变”。,澳大利亚防长马里斯·佩恩与马来西亚国防部长希沙姆丁·侯赛因会晤。,希沙姆丁·侯赛因表示需要让东盟国家参与解决南海问题。,顺承,2016,马来西亚澳大利亚吉隆坡中国南海希沙姆丁·侯赛因东盟越南菲律宾佩恩
2016年11月3日，国家主席习近平在钓鱼台国宾馆会见马来西亚总理纳吉布。中国和马来西亚就“通过友好磋商和谈判”解决南海争端达成共识，并认为“不直接相关方”介入有关争议无助于问题的解决。,国家主席习近平在钓鱼台国宾馆会见马来西亚总理纳吉布。,中国和马来西亚就“通过友好磋商和谈判”解决南海争端达成共识。,顺承,2016,钓鱼台马来西亚中国南海
2016年11月16日，日本首相安倍晋三在东京会见了到访的马来西亚总理纳吉布。日方宣布，将向马方无偿提供两艘退役的90米长大型巡逻船，预计明年交付。同时，提供7亿日元（约合4410万元人民币）的无偿资金援助，用来提升马来西亚的海上安全能力。,日本首相安倍晋三在东京会见了到访的马来西亚总理纳吉布。,日本向马来西亚无偿提供两艘退役的巡逻船和7亿日元的资金援助。,顺承,2016,东京马来西亚纳吉布
5月29日，日本《朝日新闻》报道，日本海上自卫队的扫雷母舰“浦贺”号与扫雷艇“高岛”号停靠越南中部军事重镇金兰湾的国际港。这是日本海上自卫队舰船第二次停靠该港。,日本海上自卫队的扫雷母舰“浦贺”号与扫雷艇“高岛”号停靠越南中部军事重镇金兰湾的国际港。,这是日本海上自卫队舰船第二次停靠该港。,因果,2016,日本日本海上浦贺越南金兰湾国际港自卫队
6月9日，中国与东盟国家在越南举行落实《南海各方行为宣言》第12次高官会，中国外交部副部长刘振民与新加坡外交部常任秘书池伟强共同主持会议，其他东盟国家外交部高官出席会议。各方就当前妥善处理南海有关问题表达了各自的关切，就全面有效落实《南海各方行为宣言》、加强海上务实合作及磋商“南海行为准则”等议题深入交换了意见。,中国与东盟国家在越南举行落实《南海各方行为宣言》第12次高官会。,各方就全面有效落实《南海各方行为宣言》、加强海上务实合作及磋商“南海行为准则”等议题深入交换了意见。,顺承,2016,东盟越南南海中国新加坡池伟强
6月17日，应越南国防部请求，中国海军于17日派出4艘舰艇前往北部湾海域，协助搜救失事的越南一架空军飞机和一架海警飞机以及机组人员。6月12-14日报道，越南一架俄罗斯制苏-30战机当天上午在南海上空失踪。,越南一架俄罗斯制苏-30战机在南海上空失踪。,中国海军派出4艘舰艇前往北部湾海域，协助搜救失事的越南飞机。,因果,2016,越南中国海军北部湾俄罗斯南海
8月11日，据路透社报道，越南在南海争议岛屿部署火箭炮，并能覆盖部分中国南海岛礁。美国国务院当地时间10日对此表示，呼吁越南停止任何导致南海紧张局势升级的行为。,越南在南海争议岛屿部署火箭炮。,美国国务院呼吁越南停止任何导致南海紧张局势升级的行为。,因果,2016,路透社越南南海中国美国国务院
8月31日，越南国家主席陈大光8月26日在新加坡发表演讲称，如果南海发生战事，没有任何一方是赢家。越南新任国防部长吴春历于8月28日至31日率领高级军事代表团访华。,越南国家主席陈大光在新加坡发表演讲称，如果南海发生战事，没有任何一方是赢家。,越南新任国防部长吴春历于8月28日至31日率领高级军事代表团访华。,顺承,2016,新加坡南海越南
9月2日，印度总理莫迪2日启程前往河内，成为15年来首位访问越南的印度总理。在不少印度媒体看来，中国将成为印越两国领导人会晤中的焦点话题之一。在此访可能达成的成果中，既有帮越南建造高速巡逻船，也有印度获得更多南海石油开采权。3日，印度总理莫迪表示，印方愿意为越南提供5亿美元贷款，以开展国防合作。,印度总理莫迪启程前往越南，成为15年来首位访问越南的印度总理。,印度总理莫迪表示愿意为越南提供5亿美元贷款，以开展国防合作。,顺承,2016,印度河内越南中国南海
9月12日，越南总理阮春福9月10日至15日访问中国。这是今年年初越共十二大换届以来，越南政府高级领导人首次访问中国。越南与中国有经济合作，但也有南海冲突，如何处理好双边关系，成为阮春福访问中国的微妙聚焦。,越南总理阮春福访问中国。,阮春福访问中国的微妙聚焦是如何处理好双边关系。,因果,2016,越南阮春福中国南海
9月21日，向来大力支持跨太平洋伙伴关系协定（TPP）的越南出乎意料地决定不会在今年内核准这项协议，这使美国总统奥巴马为在卸任前敲定该协议的努力遇挫。,越南决定不会在今年内核准跨太平洋伙伴关系协定（TPP）。,美国总统奥巴马在卸任前敲定该协议的努力遇挫。,因果,2016,太平洋越南美国
9月22日，越南政府22日首次发布外交蓝皮书，谈到与中国的关系时，肯定了两国关系取得积极发展，但同时称，“影响双边关系最大的因素仍是南海问题”。,越南政府首次发布外交蓝皮书。,越南肯定了与中国的关系取得积极发展，并提到南海问题影响双边关系。,因果,2016,越南政府中国南海
9月28日，菲律宾总统杜特尔特28日抵达越南，开始其两天的访越行程。28日下午，他在出发前发表讲话称，期待此访能与越南“在经济、农业、防卫和海事等领域交流意见并加强合作”。尽管菲越官方均未提到南海议题，但不少媒体认为，南海可能是绕不开的话题。,菲律宾总统杜特尔特抵达越南，开始其两天的访越行程。,杜特尔特在出发前发表讲话，期待与越南在多个领域交流并加强合作。,顺承,2016,菲律宾越南南海
10月6日，美国海军表示，美越关系正常化21年来，两艘美军军舰首次停靠在越南金兰湾。,两艘美军军舰首次停靠在越南金兰湾。,美越关系正常化已21年。,顺承,2016,美国美越南金兰湾
11月17-18日，美国智库战略与国际问题研究中心（CSIS）17日公布报告称，最新卫星图片显示，越南悄悄延长了其在“长沙岛”(即中国南威岛)的一条飞机跑道。在南海局势平静数月之后，这一消息18日引起外媒高度关注。英国《金融时报》称，这令越南首次获得了在该岛部署海上侦察机的能力。“中方始终坚决反对有关国家对中国南沙群岛部分岛礁的非法侵占并在中国领土修建各种设施”，中国外交部发言人耿爽18日说，中方再次强烈敦促有关国家切实尊重中方主权和权益，立即停止非法侵占和非法建设活动，撤走一切人员和设施。,美国智库战略与国际问题研究中心（CSIS）公布报告称越南延长了长沙岛的一条飞机跑道。,这使越南首次获得在该岛部署海上侦察机的能力。,因果,2016,美国与国际问题研究越南长沙岛中国南海英国时报南沙群岛中国外交部耿爽
12月12日，中越政府级边界谈判代表团全体会议在北京举行。中国政府边界谈判代表团团长、外交部副部长刘振民同越南政府边界谈判代表团团长、外交28部副部长黎怀忠主持会议，两国政府有关部门和地方政府代表与会。双方重申将继续落实好两党两国领导人重要共识，进一步加大磋商与合作力度，稳步推进边界谈判各项工作，推动上述机制不断取得新进展，造福两国和两国人民。双方同意继续落实好北部湾油气、渔业合作项目，继续实施好两国海军、海警联合巡逻，维护该海域的和平稳定。,中越政府级边界谈判代表团全体会议在北京举行。,双方重申将继续落实好两党两国领导人重要共识，进一步加大磋商与合作力度。,顺承,2016,北京谈判越南政府
2016年1月12日，菲律宾国防部长及外长于1月12日在华盛顿与美国国防部长及国务卿举行会谈，菲律宾提出了参与美国在南海的联合行动可能性，并将提供8个军营供美军使用。 ,菲律宾国防部长及外长与美国国防部长及国务卿举行会谈。,菲律宾提出了参与美国在南海的联合行动可能性，并将提供8个军营供美军使用。,顺承,2016,菲律宾华盛顿美国南海
2016年1月14日，菲律宾国防部发言人加尔韦斯14日表示，菲政府已经请求美国一起进行联合海上巡逻。美国承诺，维持其在南海争议海域的存在，包括潜艇、舰艇、空军和特种部队。 ,菲律宾政府请求美国一起进行联合海上巡逻。,美国承诺维持其在南海争议海域的存在，包括潜艇、舰艇、空军和特种部队。,因果,2016,菲律宾加尔韦斯美国南海
2016年1月18日，菲民航局副总监何亚说，菲律宾计划投入5000万比索（约合689万元人民币），在南沙群岛内由菲国实际控制的中业岛设立一个包括雷达站的民航监控系统，以监控当地每天约200架次的民航机。 ,菲律宾计划在南沙群岛的中业岛设立民航监控系统。,该系统包括雷达站，以监控每天约200架次的民航机。,上下位,2016,菲律宾南沙群岛中业岛
2016年2月13日，菲律宾外长罗萨里奥表示，如果海牙国际常设仲裁法院裁定菲律宾在南中国海诉讼案中胜诉，菲律宾可能考虑与中国举行双边会谈，解决双方在这个问题上的争端。这是菲律宾首次表明愿意就此与中国展开双边会谈。 ,菲律宾外长罗萨里奥表示如果海牙国际常设仲裁法院裁定菲律宾胜诉，菲律宾可能考虑与中国举行双边会谈。,菲律宾首次表明愿意就南中国海问题与中国展开双边会谈。,因果,2016,菲律宾罗萨里奥南中国海中国
2016年3月9日，据英国广播公司(BBC)报道，菲律宾总统阿基诺宣布，将向日本租借5架军机，用于在菲律宾宣称拥有“主权”的南海海域及岛礁巡逻。 ,菲律宾总统阿基诺宣布将向日本租借5架军机。,这些军机用于在菲律宾宣称拥有“主权”的南海海域及岛礁巡逻。,顺承,2016,英国公司BBC菲律宾日本南海
2016年3月18日，据法国《世界报》网站报道称，菲律宾与美国18日达成一项协议，允许美军以轮换驻扎的形式使用五座分处不同地点的军事基地。 ,菲律宾与美国达成协议，允许美军以轮换驻扎的形式使用五座军事基地。,美军在菲律宾的轮换驻扎开始实施。,顺承,2016,法国菲律宾美国
2016年4月4日，美国和菲律宾为期11天的“肩并肩”联合军演在菲律宾举行。美国、菲律宾及澳大利亚3国共计派出近万名兵力参演，日本自卫队也首次应邀派观察员参与。 ,美国和菲律宾举行“肩并肩”联合军演。,日本自卫队首次应邀派观察员参与。,并发,2016,美国菲律宾澳大利亚日本自卫队
2016年4月14日，据美联社报道，美国国防部长卡特与菲律宾国防部长加斯明举行双边会议，会后表示在15日的年度肩并肩演习结束后，将派275名美军人员暂时留在菲律宾。此外，5架A-10C雷霆攻击机，以及4架其他型号的战机也将继续留在菲律宾，直到4月底才会撤离。这些飞机将停驻克拉克空军基地，协助训练菲律宾军队，以提升两军的海空联合行动能力。 ,美国国防部长卡特与菲律宾国防部长加斯明举行双边会议。,275名美军人员和数架战机将暂时留在菲律宾。,因果,2016,美国菲律宾加斯明
2016年5月10日，菲律宾总统候选人杜特尔特9日在投票后专门针对南海问题表态称，希望举行南海问题多边谈判，并称“菲中可共同开发南海油气资源”。 ,菲律宾总统候选人杜特尔特在投票后表态希望举行南海问题多边谈判。,杜特尔特称“菲中可共同开发南海油气资源”。,因果,2016,菲律宾南海中
2016年6月12日，菲律宾青年团体“自由是我们的”(KalayaanATINITO)试图登陆中国南海黄岩岛插国旗，其中有15名菲律宾人和1名美国人，中国海警船对其进行拦截使其登岛企图落空，对峙持续了4小时。 ,菲律宾青年团体“自由是我们的”试图登陆中国南海黄岩岛插国旗。,中国海警船对其进行拦截，使其登岛企图落空。,顺承,2016,菲律宾中国南海黄岩岛美国
